id,hue,saturation,value,svsum,grid_x,grid_y
1887_1_56,0.093173666,0.133175719,0.528423916,0.661599635,37,82
79_39,0.110877757,0.133223137,0.676642438,0.809865575,37,83
78_51_25,0.079407892,0.133223758,0.751505002,0.88472876,37,84
A_1_807_C,0.364151768,0.133230467,0.613413214,0.746643681,37,85
A_1_146_A_r,0.124798691,0.13326779,0.666589751,0.799857541,37,86
77_36,0.297800646,0.133284967,0.44375593,0.577040897,37,87
86_18_13_fr_r2,0.041520809,0.133318156,0.231991572,0.365309729,37,88
A_1_277_r,0.124500163,0.133364659,0.78709493,0.920459589,37,89
85_24_28_A,0.082133009,0.133431911,0.615650403,0.749082314,37,90
M_2015_24_1,0.087206198,0.133453176,0.693059721,0.826512896,37,91
62_32_17_L,0.051034323,0.133465677,0.698744794,0.83221047,37,92
83_34_15_H,0.334835445,0.13349169,0.455590492,0.589082182,37,93
TL.2017.46.18,0.391300081,0.133493489,0.703565534,0.837059023,37,94
IMG_84.10.1,0.424776474,0.133506013,0.758661176,0.892167189,37,95
A_1_610_N,0.12922424,0.133514528,0.658413327,0.791927854,37,96
92_22_36,0.131695982,0.133525309,0.302872812,0.436398121,37,97
93_1_80_a,0.117202996,0.133527572,0.552212662,0.685740234,37,98
29_1_13,0.173991252,0.133555994,0.771106193,0.904662187,37,99
TL.2017.46.172.20,0.148637976,0.133561026,0.502187902,0.635748927,37,100
77_53_32,0.073960422,0.133567137,0.619179177,0.752746314,37,101
IMG_M.2004.21.4,0.134734469,0.133572353,0.810659225,0.944231578,37,102
88_28_1,0.124571019,0.133585725,0.874043807,1.007629532,37,103
M_2003_19_I,0.097821419,0.133592936,0.407524737,0.541117674,37,104
62_32_17_H,0.170606133,0.133605399,0.703199718,0.836805117,37,105
91_18_9_r2,0.26517233,0.133627375,0.542685299,0.676312673,37,106
TL.83.5.10,0.394417818,0.133629401,0.388184906,0.521814307,37,107
IMG_77.43.4.C,0.595819958,0.133686997,0.621405843,0.75509284,37,108
52_7_26,0.090827842,0.133691437,0.714978961,0.848670397,37,109
37_2_46_E,0.101793023,0.133787652,0.827524255,0.961311908,37,110
56_14_N,0.091503311,0.133847813,0.863320679,0.997168492,37,111
95_4_49_r2,0.103465611,0.133889751,0.399554981,0.533444732,37,112
IMG_79.50.B,0.243059073,0.133892892,0.576950265,0.710843157,37,113
37_2_45,0.093602919,0.13390761,0.752941481,0.886849091,37,114
M_2016_25_front cover,0.03562088,0.134064339,0.834778364,0.968842703,37,115
IMG_M.2004.21.5,0.148905617,0.134107727,0.830857182,0.964964909,37,116
M_2003_22_2,0.086987671,0.134129178,0.76554954,0.899678718,37,117
A_1_577,0.386170502,0.134132147,0.765614455,0.899746601,37,118
61_19_1_G_a,0.156435497,0.13417438,0.549498656,0.683673036,37,119
IMG_49.17.40.page5,0.199070661,0.134222941,0.666982239,0.80120518,37,120
78_35_6,0.094973234,0.134243113,0.895707791,1.029950905,37,121
IMG_85.36.1,0.280514287,0.134255646,0.458031079,0.592286725,37,122
IMG_78.22.84,0.116990187,0.134288365,0.610082545,0.74437091,37,123
50_20_11,0.091425079,0.134303734,0.511297302,0.645601036,37,124
IMG_81.13.20,0.392480102,0.134361762,0.616155708,0.75051747,37,125
84_2_B,0.26192839,0.134378487,0.726082498,0.860460985,37,126
56_2,0.638820856,0.134408223,0.578010621,0.712418844,37,127
81_31_62,0.110569718,0.13446709,0.693420804,0.827887894,37,128
82_15_C,0.136794315,0.134513471,0.801149049,0.93566252,37,129
92_23_F,0.313897748,0.134516488,0.577090419,0.711606907,37,130
75_12_G,0.127421321,0.134611605,0.877910299,1.012521903,37,131
68_32,0.113088886,0.134619807,0.69626486,0.830884668,37,132
A_1_283,0.10821846,0.13462883,0.8583124,0.99294123,37,133
A_1_760_U_r,0.111572422,0.134664615,0.616163514,0.750828129,37,134
IMG_84.30.A,0.257428687,0.134676819,0.534355233,0.669032053,37,135
74_7_D,0.131933077,0.134677538,0.893458543,1.028136082,37,136
A_1_543_r,0.117020053,0.134718666,0.570377917,0.705096583,37,137
71_25,0.093996034,0.134805696,0.704422276,0.839227972,37,138
M_2008_2_082,0.218266527,0.134821534,0.594246201,0.729067735,37,139
A_1_2_c,0.158670676,0.134862757,0.748270682,0.883133439,37,140
IMG_87.8.1,0.172406399,0.134897266,0.471570785,0.606468052,37,141
A_1_728_J_r,0.138974412,0.134936189,0.772560988,0.907497177,37,142
78_54_3,0.121606121,0.134950104,0.695046361,0.829996466,37,143
76_40,0.052154643,0.134954645,0.744133105,0.87908775,37,144
81.45.15,0.036078304,0.134966059,0.80791585,0.942881909,37,145
83_33_B,0.074060151,0.134984885,0.716671926,0.851656811,37,146
86_18_49_fr_r2,0.032059121,0.135024912,0.092624353,0.227649265,37,147
SL_2013_15_2,0.338995817,0.135064306,0.4992598,0.634324105,37,148
IMG_80.30.14,0.265782535,0.135079838,0.824248149,0.959327986,37,149
99_10_P,0.393267188,0.135081749,0.529367205,0.664448954,37,150
IMG_78.25.1,0.18598237,0.135090511,0.538497485,0.673587997,38,0
M_2008_2_071,0.241426925,0.135103239,0.64493142,0.780034659,38,1
A_1_645_A,0.133189103,0.135141682,0.653646757,0.788788439,38,2
IMG_M.2010.1,0.181940312,0.135159494,0.622469831,0.757629325,38,3
75_43_37_a,0.130999248,0.135213526,0.558915681,0.694129207,38,4
95_5_2,0.127626153,0.135216812,0.754422,0.889638812,38,5
IMG_57.37,0.108256941,0.135231312,0.655412465,0.790643777,38,6
